IdPersona;Genero;Edad;SectorPoblacional;estado_civil;DepartamentoPersona;MunicipioPersona;cx_persona;cy_persona;EstratoPersona
C61;F;24;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10951306;4.56473673;2
P62;F;35;Básico;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.1303865;4.63692362;3
H63;M;59;Básico;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.09729348;4.54449143;2
Z64;M;52;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.11782154;4.69894058;3
R65;M;33;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.04556394;4.69724244;6
L66;F;65;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.05676992;4.69179536;6
M67;F;51;Básico;SIN INFORMACION;;;;;
X68;M;32;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.0380969;4.73122851;4
P69;F;56;Básico;CASADO;CUNDINAMARCA;FUSAGASUGA;-74.36573533;4.34290079;4
H70;F;47;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.10055296;4.73325743;2
W71;F;27;Joven;SIN INFORMACION;;;;;
R72;M;25;Joven;SIN INFORMACION;CUNDINAMARCA;VILLA DE SAN DIEGO DE UBATE;-73.8187139;5.30635211;0
F73;M;33;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.16542397;4.62818319;2
I74;M;49;Básico;SIN INFORMACION;;;;;
D75;M;27;Joven;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.07929501;4.66633379;4
O76;F;25;Joven;SIN INFORMACION;;;;;
M77;M;37;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.06278237;4.66293719;3
A78;F;38;Medio;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.14388221;4.71566974;2
Z79;M;43;Básico;UNION LIBRE;;;;;
J80;F;40;Básico;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.15088915;4.61403135;3
K81;F;27;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.14258353;4.67987504;3
U82;F;27;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12899701;4.61957695;2
M83;F;40;Básico;CASADO;;;;;
B84;F;34;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.11724764;4.50839667;2
A85;F;29;Básico;SIN INFORMACION;;;;;
Y86;M;32;Básico;SIN INFORMACION;;;;;
C87;F;51;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12295687;4.7124022;3
P88;M;28;Joven;SIN INFORMACION;;;;;
H89;F;39;Básico;SIN INFORMACION;CUNDINAMARCA;LA MESA;-74.45278092;4.6378707;3
Z90;M;27;Joven;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.05737071;4.66916101;5
R91;M;44;Básico;SIN INFORMACION;;;;;
L92;F;37;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.13658013;4.65322363;2
M93;F;47;Básico;SIN INFORMACION;CUNDINAMARCA;MADRID;-74.27851801;4.73574287;1
X94;M;46;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12608426;4.57193572;3
P95;M;21;Básico;SIN INFORMACION;;;;;
H96;M;43;Medio;SIN INFORMACION;;;;;
W97;F;55;Básico;SIN INFORMACION;;;;;
R98;M;25;Básico;SIN INFORMACION;;;;;
F99;F;38;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.1606849;4.69365408;2
I100;F;62;Medio;SIN INFORMACION;;;;;
D101;F;25;Básico;SIN INFORMACION;;;;;
O102;M;25;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.11173031;4.69920408;3
M103;M;28;Joven;SOLTERO;;;;;
A104;F;54;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.07830294;4.60410054;3
Z105;F;31;Básico;SIN INFORMACION;;;;;
J106;F;42;Básico;SOLTERO;CUNDINAMARCA;MOSQUERA;-74.23222397;4.70990265;
K107;F;25;Joven;SIN INFORMACION;;;;;
U108;M;31;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.11357244;4.70555651;3
M109;F;22;Joven;SIN INFORMACION;CUNDINAMARCA;CHIA;-74.06100595;4.86806399;4
B110;M;24;Joven;SIN INFORMACION;;;;;
A111;F;28;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.15081738;4.69277472;2
Y112;M;54;Básico;SIN INFORMACION;;;;;
C113;M;21;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.09785038;4.74700723;3
P114;M;31;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.13999705;4.64506216;3
H115;F;66;Medio;SEPARADO;CUNDINAMARCA;ANOLAIMA;-74.46697216;4.76570275;
Z116;M;58;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.09454436;4.58108605;3
R117;M;39;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.18888364;4.60247828;2
L118;M;47;Medio;CASADO;;;;;
M119;M;48;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.12569612;4.69769465;3
X120;F;37;Medio;UNION LIBRE;CUNDINAMARCA;CHIA;-74.06231621;4.85803895;3
P121;M;30;Básico;SIN INFORMACION;;;;;
H122;M;28;Básico;SIN INFORMACION;;;;;
W123;M;39;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.05580579;4.74979001;3
R124;F;48;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.14016165;4.57902328;2
F125;M;41;Básico;UNION LIBRE;;;;;
I126;M;34;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.18011945;4.62101824;2
D127;F;52;Medio;SEPARADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.09194945;4.63142291;
O128;M;28;Joven;SIN INFORMACION;;;;;
M129;F;56;Básico;SIN INFORMACION;CUNDINAMARCA;FUNZA;-74.21251703;4.71098539;1
A130;M;46;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.03764464;4.80671412;
Z131;M;22;Joven;SIN INFORMACION;;;;;
J132;M;46;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.18382628;4.59799513;2
K133;M;37;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.02945528;4.76452729;3
U134;F;32;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.07022818;4.61453105;4
M135;M;66;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.12963409;4.66749945;4
B136;F;26;Joven;SIN INFORMACION;;;;;
A137;M;27;Básico;SIN INFORMACION;;;;;
Y138;M;56;Básico;SIN INFORMACION;;;;;
C139;F;54;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.06113543;4.66672151;5
P140;F;35;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.15645559;4.58282879;2
H141;M;29;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.15514651;4.67429249;0
Z142;F;27;Básico;SIN INFORMACION;;;;;
R143;F;42;Medio;SIN INFORMACION;CUNDINAMARCA;FUSAGASUGA;-74.36575423;4.32555429;2
L144;M;26;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.14328337;4.55651558;2
M145;M;26;Básico;SIN INFORMACION;;;;;
X146;F;40;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.16219352;4.62153684;3
P147;F;42;Medio;CASADO;;;;;
H148;F;26;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.07822451;4.60528826;3
W149;M;20;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.09624073;4.71247283;3
R150;F;51;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.08243974;4.75089525;2
F151;M;25;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.09248723;4.70277132;3
I152;M;31;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12502665;4.74416228;2
D153;M;32;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.11319211;4.54965671;2
O154;F;23;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.14722907;4.5528783;1
M155;F;51;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.13487605;4.70419664;2
A156;M;42;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12366237;4.70882365;2
Z157;M;58;Alto;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.0499957;4.71502591;
J158;F;52;Alto;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.07183408;4.75866406;0
K159;F;52;Básico;SIN INFORMACION;;;;;
U160;F;27;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.13130208;4.67276635;3
M161;F;36;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.17004676;4.63544767;2
B162;M;36;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.14624881;4.55010252;1
A163;M;25;Joven;SIN INFORMACION;;;;;
Y164;M;48;Básico;SIN INFORMACION;;;;;
C165;F;39;Básico;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.11242914;4.58601003;3
P166;M;42;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.05728348;4.65423574;5
H167;M;37;Medio;SIN INFORMACION;;;;;
Z168;M;30;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.09374876;4.52466402;1
R169;F;50;Medio;SEPARADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.11473995;4.61038041;3
L170;M;56;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.11832414;4.71068272;3
M171;F;50;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.08493769;4.59048653;2
X172;M;50;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.06382727;4.61444276;4
P173;M;56;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.06069509;4.63565223;1
H174;F;54;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10821691;4.68737278;3
W175;M;62;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.0557506;4.7331126;4
R176;F;44;Básico;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.21381833;4.61433678;2
F177;F;25;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10814368;4.57596742;3
I178;M;25;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.14403626;4.66963706;3
D179;M;28;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.0804442;4.57604638;3
O180;M;22;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.18725606;4.63554093;1
M181;M;49;Medio;SIN INFORMACION;;;;;
A182;M;28;Joven;SIN INFORMACION;;;;;
Z183;M;46;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.1237901;4.67910494;
J184;M;37;Joven;UNION LIBRE;;;;;
K185;F;29;Joven;SIN INFORMACION;CUNDINAMARCA;CHOCONTA;-73.68497174;5.14655366;
U186;M;31;Básico;SIN INFORMACION;;;;;
M187;M;46;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.09841169;4.61156078;3
B188;M;41;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.11436386;4.54965775;2
A189;M;39;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.06696601;4.65799489;3
Y190;F;20;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.07088507;4.6555221;3
C191;M;43;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.04982309;4.67577552;6
P192;F;23;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.13298091;4.70674395;2
H193;F;51;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.08175283;4.58974886;2
Z194;F;21;Joven;SIN INFORMACION;;;;;
R195;M;50;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.17189936;4.57612571;1
L196;F;38;Básico;SOLTERO;;;;;
M197;M;60;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.04669531;4.72686282;4
X198;F;27;Joven;SIN INFORMACION;;;;;
P199;F;23;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.13170174;4.60414684;3
H200;M;45;Medio;UNION LIBRE;CUNDINAMARCA;SOACHA;-74.24264373;4.57600804;2
W201;M;20;Joven;SIN INFORMACION;;;;;
R202;M;40;Medio;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.08386081;4.56141043;1
F203;F;61;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.14763663;4.61956286;0
I204;F;53;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.08886505;4.54616163;2
D205;M;39;Básico;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.11479812;4.58445257;3
O206;F;51;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.1045938;4.65602354;4
M207;M;33;Básico;SIN INFORMACION;;;;;
A208;F;44;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.08081817;4.75397995;4
Z209;M;28;Medio;SIN INFORMACION;;;;;
J210;M;30;Joven;SOLTERO;CUNDINAMARCA;CHIA;-74.06613116;4.8565787;2
K211;F;46;Básico;SIN INFORMACION;;;;;
U212;M;22;Básico;SIN INFORMACION;;;;;
M213;M;30;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.17317503;4.62131406;2
B214;F;19;Básico;SIN INFORMACION;;;;;
A215;F;31;Medio;SIN INFORMACION;;;;;
Y216;M;43;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.08033338;4.5732192;2
C217;F;25;Joven;SIN INFORMACION;;;;;
P218;M;30;Básico;UNION LIBRE;;;;;
H219;M;24;Joven;SIN INFORMACION;;;;;
Z220;F;28;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.17262232;4.59181879;2
R221;M;27;Joven;SIN INFORMACION;;;;;
L222;M;39;Joven;SIN INFORMACION;;;;;
M223;F;57;Medio;SEPARADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.11986023;4.72761947;
X224;F;45;Medio;SIN INFORMACION;;;;;
P225;M;27;Joven;SIN INFORMACION;;;;;
H226;M;29;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.08007806;4.668015;3
W227;M;23;Joven;SIN INFORMACION;;;;;
R228;F;32;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.07933425;4.67491075;3
F229;M;38;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.18801012;4.64278698;
I230;M;64;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.17346709;4.69611358;2
D231;M;31;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.16818447;4.63790448;2
O232;M;58;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.02390247;4.75557501;4
M233;F;26;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.04832718;4.76748187;3
A234;F;27;Básico;SIN INFORMACION;;;;;
Z235;F;51;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.1063083;4.73393868;2
J236;M;23;Joven;SIN INFORMACION;;;;;
K237;M;23;Básico;SIN INFORMACION;;;;;
U238;F;41;Medio;SIN INFORMACION;;;;;
M239;F;41;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.12308029;4.72616338;3
B240;M;55;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.0907191;4.56504713;2
A241;M;66;Básico;SEPARADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.03006376;4.76322895;3
Y242;F;32;Medio;SOLTERO;CUNDINAMARCA;CAQUEZA;-73.94640541;4.40287607;
C243;M;34;Básico;SIN INFORMACION;;;;;
P244;F;59;Básico;SIN INFORMACION;;;;;
H245;M;20;Joven;SIN INFORMACION;;;;;
Z246;M;27;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10046939;4.49989305;1
R247;M;34;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.02300983;4.76720883;2
L248;M;38;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.12946719;4.69974322;2
M249;M;19;Joven;SIN INFORMACION;;;;;
X250;M;38;Medio;SIN INFORMACION;;;;;
P251;M;23;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10844408;4.69143913;3
H252;F;36;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.11578744;4.71891203;3
W253;F;27;Joven;SIN INFORMACION;;;;;
R254;F;28;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.1269607;4.58383149;
F255;M;34;Medio;SIN INFORMACION;;;;;
I256;F;20;Joven;SIN INFORMACION;;;;;
D257;M;31;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.11931144;4.71196938;0
O258;F;83;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.04933931;4.66645089;
M259;M;38;Básico;UNION LIBRE;;;;;
A260;M;43;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12572906;4.69860767;2
Z261;M;34;Básico;SIN INFORMACION;;;;;
J262;M;59;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.09480036;4.52446307;1
K263;F;31;Básico;SIN INFORMACION;CUNDINAMARCA;SUBACHOQUE;-74.1702919;4.92750424;
U264;M;30;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.09681021;4.63651417;
M265;M;57;Medio;VIUDO;DISTRITO CAPITAL;BOGOTA D.C.;-74.11799765;4.72114999;3
B266;F;23;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.08268125;4.67343151;3
A267;M;28;Joven;SIN INFORMACION;;;;;
Y268;F;24;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.17099357;4.63906128;
C269;M;31;Medio;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.14385998;4.56591122;0
P270;M;41;Básico;SIN INFORMACION;;;;;
H271;F;34;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.15111763;4.68418349;3
Z272;M;44;Básico;UNION LIBRE;CUNDINAMARCA;SOACHA;-74.21279053;4.5737296;2
R273;F;42;Básico;SIN INFORMACION;;;;;
L274;M;51;Básico;SIN INFORMACION;;;;;
M275;M;42;Alto;SIN INFORMACION;;;;;
X276;M;27;Medio;SIN INFORMACION;;;;;
P277;F;33;Básico;SIN INFORMACION;;;;;
H278;M;53;Básico;SIN INFORMACION;;;;;
W279;F;28;Medio;SIN INFORMACION;;;;;
R280;F;52;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.02551852;4.7642283;2
F281;M;42;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.0699197;4.65358614;3
I282;M;37;Básico;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.14670349;4.67800993;3
D283;F;45;Básico;SIN INFORMACION;;;;;
O284;M;23;Joven;SIN INFORMACION;;;;;
M285;M;27;Medio;SIN INFORMACION;;;;;
A286;M;50;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.16957985;4.57865773;0
Z287;M;40;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.10196275;4.6747164;3
J288;M;29;Básico;UNION LIBRE;CUNDINAMARCA;NEMOCON;-73.88531736;5.06800373;
K289;F;44;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.13522422;4.71351909;2
U290;F;38;Básico;SIN INFORMACION;;;;;
M291;M;50;Medio;UNION LIBRE;CUNDINAMARCA;GIRARDOT;-74.80744887;4.3011073;3
B292;F;33;Básico;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.07703703;4.68233768;0
A293;M;61;Medio;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.114623;4.68122203;
Y294;F;29;Básico;SIN INFORMACION;;;;;
C295;F;52;Medio;CASADO;;;;;
P296;M;23;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.05816534;4.74306428;3
H297;M;33;Básico;SOLTERO;;;;;
Z298;F;34;Joven;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.16860798;4.650818;2
R299;M;25;Básico;SIN INFORMACION;;;;;
