IdPersona|IdEmpresa|Categoria|Piramide1|Piramide2
Y60|601c04f66953e3b9ba954d0f88104cff7937d81eee77f35aac7e5c583d692d5b|C|1 Emp Grandes|1.1 Platinum
C61|d4a3a43876294777756e3c65173a7f7dd2043d829e1fd9f99bde45fd1be349e5|A|2 Emp Medio|2.2 Silver
P62|30680d82bf8695aeed1adf5aa60b6109dd64a6d98e925e05012ce572bf7e6265|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
H63|b75e10d376777ce5f783136d298cbbf20609a77b47408821d6a07ea061e03893|A|2 Emp Medio|2.1 Gold
Z64|d5270526c98885083e83ea67efa58d2978174194154cc1a2f8cecf48e46675f2|A|2 Emp Medio|2.2 Silver
R65|fca1f59268a60b571395fef2081777b8022a5927669bcff564408001657c3937|C|4 Micro|4.1 Estándar
L66|30d3c35dae8e27be4306a17777f7b9b4b0b053f1482827b20e042f9605dcb3f7|C|1 Emp Grandes|1.1 Platinum
M67|075e1c26d7a4e6ef4110a9f662336478cc1f082a0246dfb4880da97d84842c11|A|3 Empresas Pymes|3.2 VIP Estándar
X68|cddd1e1689c3e8969dc658166c8e9e67f6258db1645710babf0432cbc298630e|A|4 Micro|4.5 Transaccional
P69|ca885b29867c34d22f7170b8b267c713c76201971e7e9c37e5beb2601722b41d|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
H70|56aec55759a932ecf7c4c7871f2c6100a38eb7fc56d62a07f549d1cfc944b99c|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
W71|bf84e8e30f0c3188ecb84d49a4da476304bd1ab0b6387d1933468f44668356f4|C|3 Empresas Pymes|3.1 VIP
R72|e1205c28df178dfc96a55b2591910f7b695e8c3be048d6a99cf341187fa97137|A|3 Empresas Pymes|3.1 VIP
F73|eecb89c77070ad293bc0dc4a95ecc67eee8eacc93904aaa3d7d78403b0067266|A|2 Emp Medio|2.1 Gold
I74|617baf5ef7744daaf9dafbeaa41b405d1cd28b091aed647c5e41d57010d6ded7|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
D75|3a7001a9b92f329b8acb1dd6130423c7e77a4a7060b3e8c98404ba3107ebde74|A|3 Empresas Pymes|3.2 VIP Estándar
O76|31d76b2770408fb06a8a05b55f48d94398e37aa1a94ada0d6c8f06cdba031d07|A|3 Empresas Pymes|3.2 VIP Estándar
M77|035fd5ca6b435777d4d94fde26be36120b07c8a685feb92bce62002b46654538|A|4 Micro|4.1 Estándar
A78|a49a5b56fa31cf7990cb602fac090b6aff010f4b0641f76e98c3b199ec9105ef|A|3 Empresas Pymes|3.1 VIP
Z79|6ace0f961f6a82294d6bf3341843a718ccd88cb1a93c99f0e6a4ebdb5559d228|A|2 Emp Medio|2.1 Gold
J80|779f9397f797d1856410d935696e8c608b8b813d7f933035e30dc587d2d39521|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
K81|e4b98d04c885a72d7d0cc33215c2a3da86e589d430b8b6a3005bdb1b19c5208b|A|1 Emp Grandes|1.1 Platinum
U82|b4f6a6ead28634382197da5e2f0309cbe1241837e88330757436270f19ac7134|A|4 Micro|4.5 Transaccional
M83|15af70c8b9f413c01bc3a0bb0da4dd21f6d74edf122f0e18d5244407161035cf|A|2 Emp Medio|2.2 Silver
B84|5873a1d059a8b004bf08e5c5952da38a0715609ba6ee055387b5d8d531f6bd5d|B|3 Empresas Pymes|3.1 VIP
A85|29a23ada881bbb5a1ac247372fcc59a2eef72e6b66c9127c9b36a8bde077f96e|A|3 Empresas Pymes|3.2 VIP Estándar
Y86|f7baafad6212c65bafd060685eb67b784d1563371f0a5f2d0b5631bab71962d7|A|4 Micro|4.7 Transaccional - Independiente
C87|f9ced4a0fdb65c4e62e71d5ac403ebe23015e8247995b41fb8f77dd4eea44d5b|A|4 Micro|4.5 Transaccional
P88|b6cc4b05de76217f498cafe633ae7d86e845a1735fcaf85eddbeec1f68f03bc6|A|1 Emp Grandes|1.1 Platinum
H89|1fd2d74250c6bbdccfa6ba57fb4b8ca0f97a5c0ade63eb4edeed3e0616a81904|A|4 Micro|4.4 Trans.Natural Ent. 11 a 99 Trab.
Z90|50c9b9968777ca0a73f4f7d52ec343166057619f38a1550aee7c3317dda7b93b|A|2 Emp Medio|2.1 Gold
R91|ac98881c4c39c4d27119ab5d899f5860750a41f8bba6c0bccdca2a3c81c38ea0|A|2 Emp Medio|2.1 Gold
L92|2201e709c60577719a4a3c138a4214096bc6c59d37a1e8a3c50a798fa0ce91ec|A|5 Micro|5.1 Colsubsidio
M93|c9726b6a983ad7b8af53aa22b22a5332c9d8165dc722c39bee7f88d0846e69de|A|2 Emp Medio|2.1 Gold
X94|80661f9fcca9d337083976c717c67dfae180f5f48cb26666c2d96cf803d89688|A|3 Empresas Pymes|3.1 VIP
P95|977f20ee5848b4912205b95b9c14a462950587b96a69c6ae61746ad7ab931d55|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
H96|9add19854d8cd37bbeb3393c5b7d0cbf0da41aa3969dc9ee2de373bf36a7c31e|C|4 Micro|4.1 Estándar
W97|822e2c1fc3ae9671c5948c1a03fd0728cf8d4a1bac8bd9b14c7380c03d5d776c|A|4 Micro|4.5 Transaccional
R98|7f7a59903473c6fdd2672cdec7e5938f26b4fe763a844b076222e2d3e626d594|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
F99|be22d801b7092c04b1051bd6ecabcae41f80b28df04cdc615273ea5d3dd37060|A|4 Micro|4.1 Estándar
I100|9e89e95a18c3b9c8c287ab50fd87e02f22e5da73e26a798eaabc4f405a331dbe|C|4 Micro|4.8 Transaccional - Pensionado
D101|230538b95ca105eff20f7b4383e08979d9c972adcbe77e5aa61a690876aec340|A|1 Emp Grandes|1.2 Premium
O102|3fb568eefba77d38a7255db0acdb3660a4b6c2f1648d5c5893a65aa5ee9efc85|A|4 Micro|4.5 Transaccional
M103|ef8aa4b1d9b97224b379f98e62f0bd640cb239139fab149291f74bdf37720e5d|C|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
A104|5259201963d2a11f84be2f1eb41367371b04988c882991fc272908bbabd73202|A|2 Emp Medio|2.2 Silver
Z105|283eb1194c18506f9e4a9135f9902c46cb7f878b58b98c262b1fc743cf4c47a7|A|4 Micro|4.1 Estándar
J106|719e2dfc22f9da03ee8b4b0426e70379755095a8eb6b417d10b1bdd321be47bb|A|4 Micro|4.5 Transaccional
K107|c685271c60769f4888702eff91de686d9b863a22952695e707f8ae5825c16888|C|4 Micro|4.1 Estándar
U108|8b8329859e975ec7a79a1b630b7160ab48f47cb211c9a7d12f40b9696f92721e|A|3 Empresas Pymes|3.1 VIP
M109|e9cbef7cc22359c5add02a3ce22c3f7426bbddaa3114c099b129ad97bc70f2d8|A|1 Emp Grandes|1.1 Platinum
B110|e7b8dd32ebb3cb174334cc3fb7422ecc43836412dae23542afbbd2d482393554|A|2 Emp Medio|2.1 Gold
A111|4b69931ec3e044be71120861b5fe3f0804f6810628e865e3aef6e415cea549cb|A|3 Empresas Pymes|3.1 VIP
Y112|ce7ae1b852f15495ba288c1a1b1d116321fca17cbb3d2d9d97f26748fc38e923|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
C113|ec1a3e53e45c4cb19e4b626707de88925cd589afe868a48ba283e2ea414cd026|A|1 Emp Grandes|1.2 Premium
P114|1c02fbe8635d0a714635330e6924f163ed39b603e11e7a562e517162d87844de|B|2 Emp Medio|2.2 Silver
H115|5eb749e054bc452d60b533fe97892d8fb13e1f1719ff1158cbb652e9b839b6ca|B|1 Emp Grandes|1.1 Platinum
Z116|99d3c924c06886b8a35f955dea6e8470fc7f243795a6672d80004340b7788f50|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
R117|7f7dc40df7ce34abf6877d09a7543eaf908a146a2fb83674bd4f3d064189f597|A|2 Emp Medio|2.2 Silver
L118|55f30fce0fecc3fd5a7f5f278924e3c30ac24f61c8e86fd92a320a152f3e87a1|B|3 Empresas Pymes|3.1 VIP
M119|2c6a421a108cac21d466b4a9f6fb386bf9bc74f7be0b8d23ede70d3c8272df8b|C|3 Empresas Pymes|3.2 VIP Estándar
X120|fea1b0276796fbd6610f80309d98d63c4ddf3f3ecbc877bf5ee24850fc141763|B|3 Empresas Pymes|3.2 VIP Estándar
P121|2ab03d543953d22181a59bfebd79bc73110ef253870e537afdae38b9e64d301d|A|4 Micro|4.2 Trans. Mas de 100 Trab.
H122|b41c93e3c65bf2276ab7e1de47d4f780b226b93814a328846447eb4d63357915|A|4 Micro|4.5 Transaccional
W123|3b55b4f69a7839209ff4303a68ab948768ebef91a18a1e2cda2950c81e14bbc8|B|3 Empresas Pymes|3.2 VIP Estándar
R124|578ebf5647e75a153d38badba648211865f8eba7ebd0e2d5b585a93d7e50907d|A|2 Emp Medio|2.2 Silver
F125|1dfd404223a59002fae965275982da86da8a7e939ea3c26edd7b8c18e64c8055|A|4 Micro|4.5 Transaccional
I126|5f9ce8a5a636f0b99209b77da816a40500275c8762183a4fdacc06cc34a369e1|C|2 Emp Medio|2.1 Gold
D127|93036ddf9909720d8c840484ce865b9b97278a24d929c2ac4d441cabd2dbb576|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
O128|bb34e4b6276cc4da1caecd7d0b14748877843920bac8ecf0e1fe0fe99ebf5867|A|1 Emp Grandes|1.2 Premium
M129|44319d14ea06b64aa3e980fd4f80f63f0186f50d65202f39f35fbb8097d3f53d|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
A130|95ecb351665c20bbaa7de0598906235b410af44e2153b3bbbe76d65e93737348|A|2 Emp Medio|2.1 Gold
Z131|99126a1066944a9e6d6833501003bd1d9cd8a67f1175e7f6e423739c740b68e0|A|3 Empresas Pymes|3.2 VIP Estándar
J132|17f4c5b3a7e6826b9b66f83dcf5d1e4222c4ae1c55f3e96ee57e4667cca3a4a0|A|3 Empresas Pymes|3.1 VIP
K133|b6c081aeddda2034aa216cac71306146d70362121d7f3bfed941ea1488f91c8e|A|2 Emp Medio|2.1 Gold
U134|84406c0cfcdac3b3897c90bec4ff8c59147ec04cc3d00bc593381cafb5f47299|A|4 Micro|4.5 Transaccional
M135|4c30ceb82cc65faf87e1cad05767aa5282cbb4df9d90f6e0e9ad122b9a2553f2|B|2 Emp Medio|2.1 Gold
B136|ec987846b0cb5859fbae44ce39c5ed7423b4307be2bd9a65b5a90a4a67121c80|A|3 Empresas Pymes|3.2 VIP Estándar
A137|8d3931e3e55bb87769f9edaea2906e0deaa2e14be0314f50569a9cc03ab8865c|A|3 Empresas Pymes|3.1 VIP
Y138|8e18d160564e477514ac770da5ab3df02c96c8da92ff24e64b5c1d68532b55d0|A|4 Micro|4.2 Trans. Mas de 100 Trab.
C139|4a925bd9d513d9680d0a1bd8b7bb647f293e6a639a8c4315a00cec8428213e01|B|4 Micro|4.5 Transaccional
P140|7268aa9f75595fa4096793a43d7890d8462c9c2e8969c73a8e83d3de4ebf0f5b|B|1 Emp Grandes|1.1 Platinum
H141|e631f7009a0a7611032c7bbc0e2782ec19e5e0f28eb90d3032c1b0f42141cf9d|B|1 Emp Grandes|1.2 Premium
Z142|27d8f46f46e4707afc95ebb041d787602a4e88a4489cdf0c93144ea860608397|A|3 Empresas Pymes|3.1 VIP
R143|1caeae4d133234d3197a1921ae19ce2f5aa11bfdc9f7c47c2ecddc7dce9f612e|A|1 Emp Grandes|1.2 Premium
L144|22ef04ef7cd7ca32bb3b9641c4e38181021b532cd737b6367d1b7fd810fd4a03|B|1 Emp Grandes|1.2 Premium
M145|ab63e935f85a1d09be13cb022ed7432f8531474e50efeec07c65630e700d2734|A|3 Empresas Pymes|3.1 VIP
X146|f4b9bc4537e56a7db0ac6be064d012c334813f4dc559afe33e28a867f670198c|B|3 Empresas Pymes|3.1 VIP
P147|6de7834e08f7ee6e78d57260c0e3ea9c6ef9a3a16d0371520cb796bd66ab8d62|C|3 Empresas Pymes|3.1 VIP
H148|b41d9d2d58c5d9d4d046e6c0ae0ffe48b1235b85c561ca71e13ed3216d0be7f1|A|4 Micro|4.5 Transaccional
W149|b009216246f0a22d7784082a82d0eb86cd1658eb770969831889c57883f297b1|B|1 Emp Grandes|1.1 Platinum
R150|7b2b900319e4a0ef15a690b541a718ba54d9e672cd5b20a4ad434843cceb6920|A|2 Emp Medio|2.2 Silver
F151|1f352398005294dc708614347d492e002cf5abd7fd3486dcb5be3eca5f925390|B|4 Micro|4.1 Estándar
I152|6bff01f88f5905da9c8ac8ffd7640436eb07f091c18596fa71c4e612ccc27f24|A|4 Micro|4.5 Transaccional
D153|a11a8f0fbff6c5c3ce6515e7787e454b40c5264b4465aa355cf82e4a644153ba|A|1 Emp Grandes|1.1 Platinum
O154|93fd0e52f416e1b3a80a8252c1a9c9e5674a881b6134d0d43ed1fefa5b33ac17|A|2 Emp Medio|2.2 Silver
M155|f70cf5b49e14de05cb45c0b40a070438beef29222439edf01ccfbe0c65d40001|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
A156|af3899dbae63cb03a76ff97563f4c3581960688a301449181843bb625f51f052|A|2 Emp Medio|2.1 Gold
Z157|4cd65cf5df6b646269a47d52e3e637000fa7e8dadd1a96d08d818fd8b945c828|C|2 Emp Medio|2.2 Silver
J158|6f74f0b618a7b99cccbd7f6b99ecff21700d2947ec240fb6089ac4eaf7b2ee5a|C|2 Emp Medio|2.2 Silver
K159|c35631cd0993ca1825453cefd39a0f0c5c3ebb2ca7ced07e9147c00dd9c471ad|A|3 Empresas Pymes|3.1 VIP
U160|871567ba34213a107caa4c1a292d789183be3d553004d3fa90f0a81fca21f9f4|B|2 Emp Medio|2.2 Silver
M161|8f5e2e6eb9da51fc9e2024df724eee2c2886daced3f6e52c76b748bd1fa3d861|A|3 Empresas Pymes|3.1 VIP
B162|66cee4f6ea2e983ebdb655e59d0447216c0a22aad084a0dbf0804d1d4915ff27|A|3 Empresas Pymes|3.2 VIP Estándar
A163|e09e67f5bad68555fdd7a9445b319d57e05fab39e59b3a8fea9a8f5f49c895fe|B|1 Emp Grandes|1.1 Platinum
Y164|89c8baca4f4e8809cad8a414ad152ad77cdc73190b54924e92d93cf990032305|A|3 Empresas Pymes|3.2 VIP Estándar
C165|fdda73abe874b253386a26c70162b6ad62600d4babb9a3ec599e37bda4691fc6|A|4 Micro|4.1 Estándar
P166|512bf34db5894631d58f33b2388a967d3e3d4e252211cbc19bb814cee0edc8ef|C|3 Empresas Pymes|3.1 VIP
H167|f7f4c42ef4c8c1c6b897bb0fa514eddec6c9ad8077ca4f85525d9599c44d18e4|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
Z168|85cd8652f2e76ee746f14e4b8d89866dd0da0376c27a0dff18d99ec21c7e3608|A|1 Emp Grandes|1.2 Premium
R169|2ec9e5e0f12a30f33832e73adc3cf693498c1120d345a24b7f887c7513929a87|C|3 Empresas Pymes|3.1 VIP
L170|4f213ec1b9da2107f8c2f378c1f6a142d4fe5d3388b09df3f8222032e1cff029|A|3 Empresas Pymes|3.1 VIP
M171|32476cdfb74b87c3ff5adf9b2166684a71ebccc6379f8763c8a02edde3a3a57a|A|1 Emp Grandes|1.1 Platinum
X172|039cfc4d918d3193fffd767cc2d91ea3dd768d931f5499e1d2d9a5891b1b511a|B|3 Empresas Pymes|3.1 VIP
P173|2fc5b816bdb33c3505ec4b45ed35045cfda149608f223da3208b9dd84084a382|A|4 Micro|4.2 Trans. Mas de 100 Trab.
H174|751d45cf04d47e28c11991a1ea627ad5409fb74fc6e393e52f6483d909f70848|A|4 Micro|4.5 Transaccional
W175|48a780f4fc7df4caa089808bdd2805344380b9a60c93691f446e7d99d48b6eef|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
R176|8c1614236266c629d5e977ab5701558718567d5a7dee3bf79169bac35e3d0492|A|2 Emp Medio|2.2 Silver
F177|ee24df50681f2c1e9e2ed743cacc45444e5d53cbe8df86ed7797c2f8dcef1f6b|A|3 Empresas Pymes|3.1 VIP
I178|2b2c2d332647afa37f3e59ff0e7bc7d52afaf9847fdea3ede267d27ce75705ed|B|3 Empresas Pymes|3.2 VIP Estándar
D179|54887815c351fa4032710bce456255093d51dc5383a31b680322b5c36de2b81c|A|1 Emp Grandes|1.2 Premium
O180|6a3599b8b85ba3c7ee388a77ecc87af463452811fcf4461c2a1c9adfd980c496|A|1 Emp Grandes|1.2 Premium
M181|8e0f791d1638e54e8d068bf6442f8a3bf140046d8eae3c720bd05de0bd68df69|C|4 Micro|4.5 Transaccional
A182|98b4a2ddc4c191c9eab3fbb3b2a6ee0decc079ec02b3887cc04ab0b4c5411fc0|A|3 Empresas Pymes|3.1 VIP
Z183|d724700a39bff662eb4f071dd0c9ac92dee1e19e6a4107d10c5e48a875657f19|A|2 Emp Medio|2.1 Gold
J184|ae75eb9fdfb49ab1ef06e3fef4793df3801a7e57a1bb181c06bb2612bc083f4e|C|2 Emp Medio|2.1 Gold
K185|9f9663eb9ab0354fc1e7c5f96f2df4e51a9128983125f912271bdeb0894c6d60|A|3 Empresas Pymes|3.2 VIP Estándar
U186|bbbfe55864a6f892eff3a5b9a8ca8503263679d86d100c7ac705f0b0889c7b27|A|4 Micro|4.2 Trans. Mas de 100 Trab.
M187|bc02b5c440cd82690cbba6d5006abff3465b71564b4eef36160e85b0b787b25d|A|4 Micro|4.5 Transaccional
B188|3e84228ec6a640150ab1cfd07e0a9e4396346d6394e1840083dc523b58add913|A|4 Micro|4.2 Trans. Mas de 100 Trab.
A189|e3bae67892d75fe6665ad21d5cbcd1c85888e5825149e828ae52a290f9b25201|A|4 Micro|4.2 Trans. Mas de 100 Trab.
Y190|dd999edafa33d9a618ff25f66ca0968ca92e78a4f43b2fd4970411ef963f1508|A|2 Emp Medio|2.1 Gold
C191|a0353e7a6769f202994b1b5dc9f487b7081ce89d797df2bf4875c984c79aebf1|C|2 Emp Medio|2.2 Silver
P192|2f206fc5cb1e6d529f45004ec59b7f09146af41736302639bbc06c08a5917448|A|2 Emp Medio|2.1 Gold
H193|7af1b3280f25b7789dfe39eda5af50a74757ee775116d6d0468963d1e2de2a52|A|2 Emp Medio|2.1 Gold
Z194|e567cc689dfaec6f5749c6bf45f1461b912b9ac86f8cf3167821496818d14f8a|A|4 Micro|4.1 Estándar
R195|e085c9ae1eb7d65620c4925322840fd641085869fb3f3f09a72113eca6fee32e|A|2 Emp Medio|2.2 Silver
L196|d40ab72315f6511891fa5a9cd4428e9a9a038024f3387f33aa6cf72ea2abcdbc|A|1 Emp Grandes|1.1 Platinum
M197|a1b4ab8bac0af113c15477fbd5d18c12af513a9a2a12169dc50e77ecd13bf079|B|4 Micro|4.5 Transaccional
X198|c28030382fbaff19a21b91dbb799d5200e1f606295b4549264688c2a30e1b692|A|1 Emp Grandes|1.2 Premium
P199|e5ca4598d3292d64cb7d6e3b21ec6206a30eb02a3fa249fd9d8c4929e9bc1478|A|1 Emp Grandes|1.1 Platinum
H200|531f9eb4dbdde4e89bee06bc1fe1c58966297cd4cef957f10a3d44aa4f3f6cee|B|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
W201|2232c3e00a3ae86dd3cf98b38025c2be4f60e9fcfdf4d59dbad325575796c55f|A|3 Empresas Pymes|3.1 VIP
R202|a847d5a6ff7fda503ca2111e75123465f4317de2e1b27ebc8c575635412cda35|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
F203|07b02eb8f25d864acec00992a7ad9e975bb7bb789c9704bd762f529b995b8c7e|A|4 Micro|4.8 Transaccional - Pensionado
